DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2022-07-08 04:10:35,1000,44,0,2871.295,608.082,22,5206,114532,0,0,356.091,2847.045
2022-07-08 04:10:37,1000,85,95,4665.988,844.543,42.5,5206,221255,0,0,348.176,4977.424
2022-07-08 04:10:39,1000,67,392,6315,704.975,33.5,5206,174401,0,0,427.179,7200.299
2022-07-08 04:10:41,1000,61,383,8535.885,721.854,30.5,5206,158783,0,0,417.672,9781.803
2022-07-08 04:10:43,1000,69,878,10468.101,574.405,34.5,5206,179607,0,0,363.145,10859.435
2022-07-08 04:10:45,1000,61,206,12048.475,602.302,30.5,5206,158783,0,0,391.443,12933.574
2022-07-08 04:10:47,1000,67,293,13983.791,623.317,33.5,5206,174401,0,0,831.373,17015.313
2022-07-08 04:10:49,1000,55,137,15369.691,1170.282,27.5,5206,143165,0,0,593.473,17546.436
