DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2022-07-08 04:00:23,500,69,0,2815.333,593.333,34.5,5206,179607,0,0,319.565,2794.942
2022-07-08 04:00:26,500,69,106,4858,593.86,34.5,5206,179607,0,0,457.029,4979.174
2022-07-08 04:00:28,500,64,269,6884.891,566.143,32,5206,166592,0,0,506.422,7182.016
2022-07-08 04:00:30,500,58,210,8352.569,486.472,29,5206,150974,0,0,408.31,8567.552
2022-07-08 04:00:32,500,61,317,10294.016,495.498,30.5,5206,158783,0,0,364.049,10418.77
2022-07-08 04:00:34,500,77,278,12004.623,786.46,38.5,5206,200431,0,0,695.13,12286.779
2022-07-08 04:00:36,500,65,228,13807.323,935.682,32.5,5206,169195,0,0,1014.369,14163.277
2022-07-08 04:00:38,500,65,171,15036.446,2044.883,32.5,5206,169195,0,0,1033.615,15604.4
