DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2022-07-08 03:57:43,500,61,381,4635.23,622.875,30.5,5206,158783,0,0,468.131,4797.557
2022-07-08 03:57:45,500,59,343,6775.136,673.482,29.5,5206,153577,0,0,576,6975.712
2022-07-08 03:57:47,500,53,216,8568.264,899.097,26.5,5206,137959,0,0,494.377,9628.585
2022-07-08 03:57:50,500,60,342,10416.967,527.966,30,5206,156180,0,0,456.25,10605.817
2022-07-08 03:57:52,500,54,278,11715.444,1147.792,27,5206,140562,0,0,347.481,12122.778
2022-07-08 03:57:54,500,68,221,14719.309,688.718,34,5206,177004,0,0,541.588,14885.882
